product_name,label
Véritable pâte à tartiner noisettes chocolat noir,1
Chamomile Herbal Tea,1
"Lagg's, herbal tea, peppermint",1
Linden Flowers Tea,1
"Herbal Tea, Hibiscus",1
Apple & Cinnamon Tea,1
Green Tea,1
Shave Grass Herbal Tea,1
"Lagg's, herbal tea, chamomile * mint",1
Artichoke Herbal Tea,1
"Lagg's, dieter's herbal tea",1
"Lagg's, kidneytea, herbal tea",1
Bronchtea,1
100% Pure Canola Oil,1
Canola Harvest® Original Vegetable Oil Spread Tub,1
"Canola harvest, buttery spread, with flaxseed oil",1
Lithuanian Rye Bread,1
Escalope de dinde,1
Madeleine Framboise,1
Croissants margarine,1
Magic Stars Chocolates,1
"Mcvitie's, digestives cheesecake, lemon",1
"Mcvitie's, mini gingerbread men, milk chocolate",1
Glaces vegetales des alpes,1
Puppodums,1
Mehrkomponeneten Protein 90 C6 Haselnuß,1
Black Tea,1
The simpsons donuts,1
Terrine de campagne,1
Croissants pur beurre,1
"Bakers Best, White Bread",1
"Bakers Best, Rye Bread",1
Eclairs,1
Beignets gourmands parfum choco-noisettes,1
Mehrkomponeneten Protein 90 C6 Banane,1
Confit d'Oignons ou de figues,1
"Warner Hudson, Whisky Chocolates",1
"Piasten, Chocolate Assortment",1
"Mt. olive, sweet 'n' hot salad peppers",1
"Big Papa's, Southern Sauce",1
Lomo de bellota  ibérico 50% raza ibérica,1
"Cool mint flavor dental gum, cool mint",1
Dental gum,1
Knusperflakes Mit Knusprigen Cornflakes,1
"Rum Trauben Nuss, Milk Chocolate Wih Rum Raisins & Nuts",1
Milk Chocolate With Caramelized Almonds,1
"Funsch, High Quality Marzipan",1
Oatmeal Raisin Cookies,1
The Best Peanut Butter Cookies,1
Best Sweet-Potato Cookies,1
Best Ginger Snap Cookies,1
"Lactaid, ice cream, vanilla",1
"Lactaid, ice cream, butter pecan",1
100% Soja Protein Haselnuss,1
Whey Protein aus Molke Vanilla,1
Whey Protein aus Molke 1000 Gramm Vanilla,1
Salted Sticks & Salted Pretzels,1
Whey Protein aus Molke 500 Gramm Vanilla,1
"Lindt williams, liquor chocolate with williams pear",1
Pain de mie sans gluten,1
Flocon d'avoine - complète,1
Pain Constance aux céréales,1
Le lin,1
Beignets framboises,1
Solid Milk Chocolate,1
"Madelaine Chocolate Company, Chocolate",1
Milk Chocolate Rose,1
Solid Dark Chocolate,1
White Chocolate,1
"The Madelaine Chocolate Company, Solid Milk Chocolate Cigars",1
"Madelaine Chocolate, It's A Girl! Solid Milk Chocolate Cigars, Milk Chocolate",1
"The Madelaine Chocolate Company, All Natural Dark Chocolate Gift Stick",1
"The Madelaine Chocolate Company, Solid Milk Chocolate",1
"The Madelaine Chocolate Company, Solid Dark Chocolate",1
Milk Chocolate Malt Balls,1
"The Madelaine Chocolate Company, Solid Milk Chocolate Bunnies",1
"The Madelaine Chocolate Company, Solid Milk Chocolate Chicks",1
L'Envoûtante (Pain),1
Spray candy all kidz blend bonus,1
Sour & Fruity Candy,1
Romaine Hearts,1
Romaine,1
Green Leaf Lettuce,1
Fresh Spinach,1
Cooking Spinach,1
Quick Cook Sprout Halves,1
Celery,1
Season & Steam Kalettes (Kale Sprouts),1
Baguettine aux olives,1
Muffin double chocolat,1
Pain de campagne bio nature,1
"Feletti, Pralines Candy, Milk Chocolate",1
